	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679862_13B.CEL	GSM679861_12A.CEL
200020_at	10.8040902407095	10.7598327243241	10.837545969869	10.7667713872994	10.0197510424587	10.1859757830019
200021_at	12.4422838373336	12.3553860262435	12.5463248010405	12.5668604530127	12.7661417250377	12.6139238899004
200022_at	13.1000573529894	13.0661541369475	13.095555530426	13.0953805509195	13.0573138155081	13.0228763677644
200023_s_at	10.8752890794147	10.7900043715042	10.8960548143238	10.7884273778349	10.7126147318554	10.4644974859206
200024_at	13.1761264263946	13.1802263353949	13.1614625956631	13.2468296526184	13.2954959521906	13.2481714643478
200025_s_at	12.9594163842678	12.8289496578194	12.9344399638003	12.924929599168	13.0018521139436	12.9051377939093
200026_at	13.1569595725847	13.1464545336157	13.2152252988684	13.1307870875808	13.1581254637705	13.1179568865922
200027_at	11.093668136345	10.9427008180688	11.1423836607139	10.8363429891402	10.0573036373415	10.4988402706985
200028_s_at	10.9389307533632	10.9210191151266	10.9874249023558	10.9124888731193	10.5375803095246	10.6063372824642
200029_at	12.5459004367492	12.4583681641693	12.5893780508259	12.6434236446751	12.5976506045948	12.2858724610111
200030_s_at	12.8998772712019	12.8702561336393	12.8995523716155	12.9987059051805	12.8263429598984	12.7192745164285
200031_s_at	13.1360548442484	13.151529447341	13.1871849924919	13.2190958170524	13.1727400174784	13.063377332723
200032_s_at	12.9315156796365	12.9545780234151	12.9391794233113	12.976984700956	12.8019531239885	12.7764072658312
200033_at	12.2101121605905	12.3807013590411	12.1628524558562	12.0723194734547	11.9364413787391	12.2223600951311
200034_s_at	12.7015447276178	12.7233623095315	12.7134079985908	12.7120016817934	12.5233232961859	12.5653268378203
200035_at	8.74242347442759	8.5779261149799	8.75038576191139	8.71344472351209	8.61047126794301	8.35064462198207
200036_s_at	12.0609106818972	12.0596420516182	12.0962648915664	12.1071651485515	12.0308118578215	11.8458127045078
200037_s_at	11.3490040676956	11.3419167371308	11.4055941300828	11.2324361112271	11.0602575410864	11.0615869062476
200038_s_at	12.7968774184532	12.7683797783377	12.812008694648	12.810725591168	12.6666530507221	12.5601308824231
200039_s_at	10.7097946002605	10.7883186038169	10.7343833314748	10.5822783307299	10.429481426651	10.6353704159798
200040_at	11.6031476996634	11.6286045238822	11.653557867515	11.5765934610152	11.1602379776045	11.264730785436
200041_s_at	11.387579274599	11.4659877995186	11.4489159574769	11.3450302122319	11.0009926727783	11.1902414943363
200042_at	10.4383553197428	10.3374353038274	10.486097578365	10.5568971495313	10.1616421694124	10.1148018877534
200043_at	11.8523830579454	11.8487749176108	11.8200973561881	11.8874613579144	11.5773587729222	11.5923155460546
200044_at	10.5968278779352	10.6456752557659	10.606275237052	10.5941647996636	10.3476312178332	10.4083119661348
200045_at	9.87804431569864	9.88725068270005	9.88647383675469	9.85816416805165	9.28031123294598	9.49698712543147
200046_at	11.1736231711248	11.1795432841938	11.1647563877772	11.1763717819323	11.5849727917473	11.5947758158897
200047_s_at	11.2927350985749	11.1599419351137	11.1728037261732	11.0193063018976	11.0175959564336	11.0988654007331
200048_s_at	11.1051507029372	10.9695892867938	11.0931285411831	11.3252540917418	10.9009482675309	10.6488520042779
200049_at	8.78417412702033	8.85227125584087	8.82845390866212	8.76077541776833	8.57656173431182	8.49625465378602
200050_at	11.3036938903114	11.2894088140592	11.2961363092198	11.1554630178482	10.7173822430199	10.9794757030182
200051_at	8.54957682671166	8.45328799185056	8.71036212167101	8.45695794860831	8.24325889842204	8.16493415691426
200052_s_at	11.0640429340297	10.9363962807847	11.0340812879408	11.1074162640605	10.7389293817816	10.7389104198985
200053_at	9.17703537739014	9.17671077767856	9.18264267160794	9.09249009043529	9.14470526832241	9.0978565907538
200054_at	9.00498710317724	8.87682390389285	9.08131118409801	9.19541324853557	8.21884578678158	8.3735510129986
200055_at	8.78696202363411	8.68772122346605	8.85118944297381	9.06501217991604	8.97780464925392	8.44261417319505
200056_s_at	8.54679264763089	8.54850998992211	8.58736869807442	8.58886047252533	8.22655265609762	8.34325539625357
200057_s_at	12.0337568004642	12.2099861783864	12.1218949520691	12.2012650533879	12.0935251332717	12.0801179598873
200058_s_at	10.6216893548148	10.6890304622902	10.5866280667213	10.3882519845373	10.3350251866167	10.506859316025
200059_s_at	11.8217875723584	11.7818885927413	11.8302173048047	12.0695005229844	12.0964797713458	11.9308789039384
200060_s_at	10.8864312772286	10.7858066363766	10.8352104479404	10.9189884080792	10.249125871626	10.3034327829709
200061_s_at	13.3036915888398	13.3479628657677	13.3153978614739	13.2912085494661	13.3432974655455	13.2908574128029
200062_s_at	12.4446660555897	12.376777757119	12.470302988508	12.4668946635282	12.4361067615542	12.3328818581527
200063_s_at	13.0724564445255	13.0871415897716	13.1009709046318	13.0566659113595	12.7827511266911	13.0098834235716
200064_at	12.8033777421095	12.8205621482954	12.7358454460782	12.7847234459604	12.7144724727148	12.8073211201602
200065_s_at	11.3010718246255	11.2035591414372	11.3111692603149	11.4538850005921	11.4596118851152	11.3739257388825
200066_at	9.74348623135214	9.86033799895306	9.81858711023244	9.79860358209967	9.75036899163654	9.62179057884896
200067_x_at	10.8147470566562	10.7156594024824	10.8465600757542	10.7114753657054	11.07803566171	10.9974853113571
200068_s_at	11.8768750221138	11.8838512738594	11.9079869807848	11.8779113028546	12.1009141571878	12.3192184888279
200069_at	9.2493435042467	9.21327178989549	9.33697132159351	8.7490978524547	8.45915839992573	8.5384095198658
200070_at	8.01428282456635	8.1422989815983	8.16959106043413	8.18387970649401	7.7201559877241	7.97605255355399
200071_at	10.4275922175674	10.2811480805109	10.4623140104048	10.268464038015	10.0869540492291	10.2246664882288
200072_s_at	11.1079580904193	11.107820253754	11.148641828569	11.2437513168252	10.6007180072328	10.5584090220393
200073_s_at	11.3595232387715	11.308439566234	11.382336907812	11.1424717023706	10.6253435675686	10.8078073518257
200074_s_at	12.0217926901473	11.9541720753344	12.0700660724308	12.0753828298885	11.9913142181449	11.7770150196992
200075_s_at	9.13931343871076	9.15756864703445	9.16222349372361	9.25094061941592	9.7625561687883	9.33737781235987
200076_s_at	9.14915436913572	9.03960365092524	9.13585045507316	9.19757625882358	9.09497120939264	8.97072544300687
200077_s_at	12.8615562746007	12.7651067621752	12.8071402215233	12.7536929251477	12.589953497703	12.6132591050731
200078_s_at	10.2700395089665	10.1955803671245	10.2532801899089	10.5331072356377	10.0614641503654	9.99598911920265
200079_s_at	11.3815263144345	11.3408606130697	11.4395383715422	11.4076196809361	10.9171107349873	10.9635081061934
200080_s_at	12.8458338944735	12.9635868465056	12.8590437589525	12.8474789174862	12.8027010676386	12.7951355188147
200081_s_at	12.4000035894689	12.3925651756548	12.4033937822709	12.4770383743398	12.3249844983819	12.2084583102339
200082_s_at	12.7668805889757	12.7021834874037	12.7299170046729	12.853231571914	12.6698117043956	12.5465501375553
200083_at	10.6238463161113	10.6797200809716	10.6465626602988	10.6332596414042	10.810297797164	10.6535052594786
200084_at	10.5508285758735	10.5605463403449	10.5619382828675	10.5028206982851	10.154476082403	10.1703672348966
200085_s_at	11.3007042598336	11.0811183178386	11.2883834514095	11.2308155665296	11.5791799333146	11.078593136014
200086_s_at	11.0490332159247	11.0392390206414	11.1751428930023	11.0069775322405	10.7780223654661	10.7335537078962
200087_s_at	11.3667713191939	11.3484607648777	11.3255905019792	11.4051343757031	11.5404304398394	11.5289476280508
200088_x_at	13.1108421663961	13.0030829306424	13.1494513747544	13.0505228331646	12.9942622030604	12.7650995871352
200089_s_at	12.4711441937245	12.4988177204828	12.4883655891718	12.5523444379001	12.4296842199	12.4484128536742
200090_at	11.0581873022697	11.0139548789446	11.145516579616	11.0932562804078	10.8573065385413	10.8722270879077
200091_s_at	12.7843656485261	12.7925807851109	12.7697896450789	12.8010211998675	12.6688428616962	12.6526648584543
200092_s_at	13.4761821904211	13.4383354671178	13.4529683069767	13.4259228273724	13.3493271437853	13.3221654723138
200093_s_at	11.387077009454	11.374086708179	11.5034432300264	11.3730878596806	11.2672996003934	11.2619372684812
200094_s_at	12.3222429613463	12.2846715739941	12.3230586434016	12.2358792854417	12.3088144393329	12.2486984880968
200095_x_at	13.4238316871885	13.3365731799725	13.4542478794618	13.4152759164526	13.4616919468954	13.371518026368
200096_s_at	11.2456820083745	11.1894189463287	11.20808069543	11.2239971491912	11.6485037179232	11.6980312536784
200097_s_at	11.0126139487939	11.0455995415877	11.0002231135584	11.0574719251968	10.6666644583119	10.9631787331747
200098_s_at	10.8162512605239	11.0256638611685	10.9020735875617	10.8724953421376	10.694646184288	10.875069617711
200099_s_at	13.4218193129618	13.4202527704192	13.3727513720227	13.4539479188083	13.3332120604164	13.3179308967892
200593_s_at	10.0237834030761	10.0115933661408	10.0793553948121	10.0691916019812	9.40340934843501	9.53528320940591
200594_x_at	11.7551898263358	11.8051403884435	11.7877025247371	11.8312516211067	11.2272258394549	11.4085747856276
200595_s_at	11.1643968466587	11.1263888410034	11.114786281516	11.1258211261031	10.8093126187013	11.1484340436072
200596_s_at	10.501757430667	10.6686751814069	10.5799233057067	10.7644986686166	10.4612993280283	10.5441677487002
200597_at	8.39814377626766	8.50975855079074	8.53070797036749	8.70620071278288	7.67156238099213	8.09646107486385
200598_s_at	10.7063979338058	10.6672002756888	10.6424946960851	11.0444522157752	11.6220351126558	11.6108959133756
200599_s_at	12.4743994618814	12.4101433358781	12.4216705483677	12.418868988476	12.8240332529478	12.9893502092883
200600_at	10.8688948058263	11.0122037434369	10.914500643	10.9794519081645	11.502844940623	11.6762016958547
200601_at	9.81607700651756	9.45669551832249	10.0143117167521	10.2722863716698	10.5721253415317	10.4769544144378
200602_at	10.7446376627091	10.7056972683857	10.5819331307056	10.5249327194964	10.5795498286581	10.7671334345766
200603_at	10.8894532699113	10.9901496457003	10.8380615313147	10.7843331534923	11.0251204480205	11.5252434719239
200604_s_at	8.27813971843393	8.36524508280277	8.35409304487867	8.33531258199489	9.45758610671241	8.94952392486787
200605_s_at	9.92040159164149	10.092882713254	9.83067992727313	10.0372718020528	10.9268839397455	10.8157222650715
200606_at	5.0959614685062	5.38556186693797	5.29324222460527	5.75623019431217	9.9234757397379	10.5428873585223
200607_s_at	8.63996079494721	8.81427650871095	8.66411834702122	8.97086494361362	8.73692670037122	8.39142292623774
200608_s_at	9.83375826455297	9.9110500099682	9.8437834321922	9.62637530135725	9.37693068894075	9.56210363884223
200609_s_at	11.0293796994316	10.328413151594	11.022430206733	11.1732964633704	11.014555227088	11.2498739001054
200610_s_at	11.4866880439707	11.5016351997304	11.4488156029734	11.5195492687708	10.8833396433726	11.0646140304299
200611_s_at	10.682082555206	10.2679241233716	10.724072762233	10.9553221046405	10.9637217133523	11.0111931025168
200612_s_at	8.53588845617312	8.32917604968941	8.4252858963836	8.24507769887103	8.71774734960413	8.41633137593126
200613_at	10.6944212809597	10.5939599827873	10.6382985403181	10.8106009610678	11.422657376457	11.1988420881826
200614_at	12.441945460117	12.5925730888289	12.4909385755213	12.4070454147028	12.5957851945218	12.7871569899922
200615_s_at	8.85482920361266	8.6734788355017	8.85827470458576	8.93292941067765	9.07198810102088	8.92354852269029
200616_s_at	10.1555820462545	10.0525771297634	10.1841887457181	10.3502078755949	10.2023891910216	10.2364879295846
200617_at	9.5478913284095	9.57004544491046	9.62155333898792	9.6739070355546	9.77617191510423	9.81446231557583
200618_at	10.6442689722993	10.117694590112	10.5978780780686	10.4496731041149	10.300525469247	10.2910489865079
200619_at	10.3066829685997	10.3204988694898	10.3650317535373	10.3479495033001	10.1505495952073	10.1383460467671
200620_at	9.63713803562113	10.0012970953867	9.55729661288056	9.8172768416598	10.6412725118206	10.4046903746775
200621_at	11.9151821035925	11.5533450927848	11.9508267104484	12.0992389748374	11.4852303184901	11.4365603256043
200622_x_at	8.76963919940321	8.66529188670083	8.7676676599512	8.81117426945266	8.79969194003197	8.57339476677606
200623_s_at	8.46078043576147	8.53161369467033	8.58470737932213	8.31379312483669	8.46035918745902	8.43553066052278
200624_s_at	10.7838015724499	10.9868343297913	10.7770568327856	10.8692339105825	10.6012584102541	10.4472288524293
200625_s_at	10.3668797346107	10.1556322916435	10.4577409728712	10.5479944925621	10.9173199779039	11.0144449937836
200626_s_at	11.671066436066	11.738064108327	11.615343921631	11.5719580111592	11.3259468892679	11.3273317067628
200627_at	12.4559856268973	12.491836296393	12.4494754019147	12.4729467623199	12.084665522533	12.2102959134864
200628_s_at	8.69885956595537	8.68825516763902	8.70286803215459	8.81996619477879	9.17787928044904	9.09224403741799
200629_at	9.69607856487727	9.45347644713695	9.72533171757116	9.44075709351419	10.0091811574449	10.0912320383463
200630_x_at	11.1478307497133	11.3361784168308	11.1192370059203	11.0025325535596	10.9478773912726	11.0205876373235
200631_s_at	12.1962378488895	12.1459777434533	12.0990109762669	12.1088148939701	11.5080481950902	11.6259123355686
200632_s_at	5.39931126900852	5.49848099193704	4.89133739178091	5.65774218807234	6.86500174878567	6.70899562595128
200633_at	13.442623238135	13.4827189814449	13.4498431292483	13.3146571050625	13.5066815568455	13.5291825156855
200634_at	11.3913733372638	11.3172640829485	11.4765650928587	11.5049707159294	11.6756336591192	11.5127401694255
200635_s_at	7.24729471757738	7.25660043275102	7.45706893333516	7.27848828959146	7.45841782133951	7.62793281152614
200636_s_at	9.04506629336617	9.15507121894085	9.06685523732378	8.92654225734007	9.05781129143853	9.44585084480117
200637_s_at	5.99024642902268	6.08937804300207	6.15314754136543	6.19667323354852	6.42376267988993	6.49242738903084
200638_s_at	10.176610065344	10.0527148720344	10.2035723365805	10.5435468441745	10.523517082302	10.5180004832521
200639_s_at	9.99768137640187	9.88101198052748	10.1236892043198	10.0918278234206	10.1117486642922	10.1680602343889
200640_at	10.2120995027906	10.1126372633239	10.3496385001986	10.4359488213611	10.6438865414472	10.5725876610548
200641_s_at	8.62246434528091	8.56628111796604	8.53707202555629	9.23821758613385	9.24471935947509	8.99011277807232
200642_at	11.9124926009893	11.9051076648961	11.9451186429232	11.8825237391659	11.8438950181301	11.7732115952947
200643_at	9.62524133830011	9.73203179437571	9.60726541191104	9.70383231011522	10.4064085774077	10.1919530884041
200644_at	11.5698150283293	11.5898990213902	11.6105694836511	11.8972177853881	11.4670685596526	11.1749403380459
200645_at	11.014706263688	11.1014228001102	11.0783506861845	11.228559408082	11.7544374379025	11.4053262083161
200646_s_at	6.64483047815588	6.98873903693985	6.5310512052864	7.13833428281598	8.06308503398348	7.78637861880365
200647_x_at	11.5115612125639	11.487848411482	11.5280351753052	11.4453522874971	11.4756950572236	11.4400170105413
200648_s_at	7.72580817708521	7.76156142102932	7.7390767815913	7.87167969188799	7.88961482919532	7.62360226882009
200649_at	7.55096168387102	7.91097087175053	7.53296546053129	7.88830245174749	8.78970351008804	8.59894585508713
200650_s_at	12.4125130382347	12.3302585880489	12.4517520238769	12.4347205675354	12.5634584725021	12.6056735530393
200651_at	12.9076320495861	12.8995620487897	12.9714418086782	12.916066859542	12.895026688726	12.8064867870714
200652_at	11.136146612585	11.1274718501365	11.1749942744851	11.2760241449889	11.7708084074454	11.7238888993858
200653_s_at	12.1500785399917	12.3707219433946	12.1313859697571	12.399624105432	11.5910056874289	11.5792326877499
200654_at	11.188444616967	11.1882900629221	11.1993407366006	11.093840599683	12.0765645147842	11.9977440299204
200655_s_at	11.3594151422243	11.5677629171071	11.3794004533767	11.6724156823158	10.9959907036319	10.9575595900266
200656_s_at	10.5036556166718	10.6150776811368	10.5378252828427	10.4764806550765	11.4106810112691	11.5275819970453
200657_at	11.9844938151173	11.9637634955628	11.9657024587985	11.9710930210032	11.9168751053756	11.7912714438575
200658_s_at	10.6181152557905	10.5014422900338	10.6366431222443	10.555483873966	10.1531452513278	10.0675840139793
200659_s_at	8.83507869464873	8.68600165307017	8.80525824662338	8.8078782695247	8.34177829278102	8.34284151881416
200660_at	8.47171992361042	8.60957953769562	8.51362632456581	9.04467611420022	10.607282939429	10.2355521636527
200661_at	9.25025658410893	9.40638657948045	9.22208223609763	9.44211414511762	10.1261882246497	9.93542991620511
200662_s_at	10.7936514848531	10.7876794670094	10.8436787703122	10.8821542561274	10.089949772135	9.95014344827968
200663_at	11.3218737877338	11.4636557353638	11.3291983670249	11.5238125024838	12.4225210276203	12.3291024409872
200664_s_at	8.27449842512036	8.31724901550544	8.18211617669678	8.04000122261912	8.32752965529966	8.02576889349407
200665_s_at	10.9044988478811	10.7948108246794	10.9151670838471	10.7722004145972	12.3796500734087	12.3641352903672
200666_s_at	9.15319292514768	9.34832522641783	9.16222349372361	8.98974237383263	9.13827386698017	8.99597522485836
200667_at	10.5893789788266	10.436720408518	10.5544074803305	10.6433225205014	10.4500605093725	10.3673482104086
200668_s_at	11.5462497436782	11.5066249603657	11.515831230684	11.6836096616591	11.5581700487152	11.5008177137245
200669_s_at	9.7853423032157	9.71918718754596	9.78592497692523	9.98610228695213	9.83795242636329	9.65675402977961
200670_at	8.88608795265022	8.55094940359112	8.92340171975839	8.92268292397167	9.29508484877006	9.37084152090537
200671_s_at	5.71035127926493	5.68827474473815	5.96992257246658	5.83698785590387	6.77300803837256	6.63877201034766
200672_x_at	7.15287386895896	7.14857924199477	7.18841014472211	7.2245175154208	8.32015608533401	8.23575841188688
200673_at	11.3326426819061	11.4944889542039	11.3710407566266	11.3986649638204	11.9932096752177	12.078504451853
200674_s_at	13.4533649211823	13.3789832741469	13.4603620358599	13.4420850896358	13.4406978435041	13.2886161868568
200675_at	10.3976033458791	10.6218473328733	10.5115184842439	10.6323034967753	11.1459865800769	11.0220089300976
200676_s_at	7.4829711605704	7.25101077747032	7.60816169389473	7.54168096929754	7.10742964849722	6.89107909121677
200677_at	11.6801274320307	11.9163851590887	11.7724690961516	11.9869221340344	12.0350625424032	11.9239333548857
200678_x_at	7.24358109989336	7.52396701623803	7.26579783476444	7.48330492148557	8.56792915814548	8.31473186229107
200679_x_at	11.3917620625584	11.4425342371959	11.4626959847621	11.6124538752175	10.4092318181963	10.1798261877362
200680_x_at	13.1464732585075	13.1650715995625	13.1180921170237	13.1772987263229	12.3982599765965	12.3767936158472
200681_at	11.8431487791352	11.8778787885612	11.9139472937768	11.9120163298329	11.4990315719599	11.5325913009434
200682_s_at	11.3266175388905	11.2683815366076	11.3069535703167	11.3764510232586	11.0190070789345	10.8319640743549
200683_s_at	9.80238489166605	9.68133810886379	9.80438010686604	9.70003507840332	9.60330171658942	9.44086588742292
200684_s_at	8.76841416046736	8.61988080129443	8.72732084061357	8.7313512441834	8.26988749252774	8.1353456226675
200685_at	8.33563225638759	8.73658417023503	8.46708266642395	8.25476705420555	7.95859886020544	8.79753635595917
200686_s_at	10.9392853645195	10.9909378253888	10.8772728795892	10.6684001123785	10.6332297284831	11.0734798979235
200687_s_at	9.72374300347691	9.71999616956563	9.75842953784801	9.68194347700773	8.97039154938765	9.21239400080353
200688_at	6.71187039948386	6.84284275983436	6.85399443018089	6.57418659700238	6.2494983232839	6.48004982659035
200689_x_at	13.2164465244751	13.2620716684014	13.186629382681	13.2830280670355	13.3348063218894	13.2468282656099
200690_at	8.02577678370258	7.85227487118155	8.12148350157808	7.62300847520218	7.28848711427758	7.61543438326675
200691_s_at	10.6664962911617	10.6024823773587	10.6744785359186	10.6358088059114	10.0167488174458	10.2753036207543
200692_s_at	9.58027827447833	9.58023281375691	9.58525693547534	9.62122719935489	8.98102830075829	9.13978147213383
200693_at	12.3332175708823	12.3429547074732	12.2790765675304	12.4191788179844	12.1562507872672	12.1050733908586
200694_s_at	10.2414398166542	10.2864721444954	10.2481638487626	10.231403869638	9.89958925076464	10.0725812099519
200695_at	9.19874038170091	9.26645027828943	9.25250777813096	9.40122436218815	9.51021022313581	9.2697501011044
200696_s_at	6.50369059243682	7.3498032378477	6.51201630864795	7.68603363668958	9.75768702537924	9.08912554866099
200697_at	10.1141962957027	10.3745327846195	9.96749186801103	10.5350262070761	11.0911478920554	11.0169855010183
200698_at	10.4996270947769	10.5317660137294	10.6139498380493	10.652337112567	11.0308150604456	10.965615968317
200699_at	9.77954216243605	9.92392419929806	9.82111151407348	9.70802942138004	10.5062077961508	10.3327849919258
200700_s_at	10.4852182171834	10.5669458013474	10.5709176048966	10.6742485365474	11.3212854261652	11.0732086001904
200701_at	9.52902426873967	9.73702353065157	9.66936214686624	9.70511713033006	11.180578000601	11.1095677104742
200702_s_at	8.41278667118777	8.26256475350175	8.56250741133181	8.2951512423818	8.11769786937587	8.13338042881792
200703_at	12.1109398140938	12.0958417531019	12.1536095260413	12.1994398015513	11.8514621660186	11.8449019066329
200704_at	7.52773376244219	8.50556835784441	7.50059103551352	8.6780709220195	9.5518216667938	8.84528098388282
200705_s_at	12.8792832971963	12.7927703405615	12.8625740688579	12.8032653356911	12.8974477625292	12.8248227579126
200706_s_at	7.1855595300634	8.16461833337958	7.01448484642752	8.33608609048031	9.00333112763348	8.44646846931068
200707_at	8.47291606269586	8.75379650383464	8.59096128228919	8.77386871062438	9.35460992486489	9.10281138955132
200708_at	10.2761811716581	10.3149769223654	10.3469385183649	10.2782682108445	9.96392885784438	10.0617312174266
200709_at	10.8354134391715	10.8901433912839	10.774873217493	11.0983338942555	11.3985688963888	11.1878082381007
200710_at	8.94100973058963	9.26481131049201	8.9577879467797	8.61741146159053	9.44326922983314	9.56934260328286
200711_s_at	9.81764162511212	9.88595393330336	9.89291408426077	9.9292633163298	9.80355988808894	9.64034768934828
200712_s_at	9.45049657363353	9.4150782521395	9.3914593465326	9.71626470780915	8.86405105597524	8.64820962409692
200713_s_at	11.793764865802	11.7818104897796	11.8450718221441	11.7853453303819	11.0446580527113	11.1350031914888
200714_x_at	9.31304521132429	9.56775594679088	9.38428012734014	9.51957795955597	10.2669036506276	9.99333801841909
200715_x_at	12.1556136401523	12.1469183786969	12.1093796018883	12.3070711409233	12.1742259768589	12.0204584694419
200716_x_at	13.2832758799425	13.2844293885789	13.2633097798956	13.3119515634145	13.2543735541288	13.2092781414058
200717_x_at	13.5034557278037	13.4913090612708	13.5226548861032	13.4747923657182	13.4766128823801	13.4384770439955
200718_s_at	12.5745349765098	12.611434552945	12.4719699183296	12.5576964988012	12.5209998124489	12.6039779257151
200719_at	7.47960626057679	7.75109650106471	7.51187200530098	7.51187200530098	7.14233118545652	7.12269147327748
200720_s_at	9.4503865016029	9.46306655977739	9.44415338492091	9.68203402260295	9.80219825070137	9.5467658928217
200721_s_at	9.10801439363298	9.05314655085797	9.13958853574299	9.17199466974329	9.36285730610612	9.2531855362585
200722_s_at	11.6660362628662	11.9742711775517	11.6113126102178	11.9631429424693	11.3086458433812	10.9961548077396
200723_s_at	12.8053319487181	12.9811688585524	12.7868489064828	12.8911195940145	12.5508766707383	12.4605030108942
200724_at	4.16104153577338	4.27235533541475	4.10759499793064	4.20157995022198	4.00162872852297	4.16340535112643
200725_x_at	13.1934377697872	13.2070758448588	13.2296362260783	13.2223510679084	13.3642990067034	13.2524401169292
200726_at	12.0273840485019	11.9738379083528	12.0361612680987	11.9505000130825	11.4614423163442	11.3077213542771
200727_s_at	7.51420267839826	7.26283320949971	7.61421912862636	7.62737669461012	7.05971454065009	7.54409081694286
200728_at	10.1663095192478	10.350356345307	10.2133497474521	10.2720008422311	10.2539134356205	10.3987075337943
200729_s_at	10.3528894531127	10.2704121519386	10.3285412975867	10.4767521266418	10.3253384026411	10.4362243201555
